user.index,day,notif_type,decision.index,selfeff_intake_r,n,total_steps
1,1,Sedentary,0.0,11,23,948.0
1,1,Active,1.0,11,31,421.0
1,1,Sedentary,3.0,11,14,302.0
1,2,Sedentary,3.0,11,59,1014.0
1,2,Sedentary,5.0,11,4,11.0
1,2,Active,6.0,11,8,94.0
1,2,Active,7.0,11,10,76.0
1,0,Sedentary,10.0,11,1,0.0
1,3,Sedentary,11.0,11,7,65.0
1,3,Active,12.0,11,4,4.0
1,4,Active,14.0,11,27,155.0
1,4,Active,15.0,11,66,1466.0
1,4,Active,16.0,11,161,3672.0
1,5,Active,19.0,11,4,15.0
1,5,Active,20.0,11,2,3.0
1,0,Sedentary,21.0,11,1,0.0
1,5,Active,22.0,11,5,42.0
1,6,Sedentary,26.0,11,85,3116.0
1,7,Sedentary,29.0,11,40,615.0
1,0,Active,30.0,11,1,0.0
1,7,Active,31.0,11,71,3142.0
1,0,Sedentary,32.0,11,1,0.0
1,8,Sedentary,35.0,11,55,2706.0
1,8,Sedentary,36.0,11,14,57.0
1,0,Sedentary,37.0,11,1,0.0
1,9,Active,40.0,11,59,2764.0
1,9,Sedentary,41.0,11,59,1595.0
1,9,Sedentary,42.0,11,20,173.0
1,0,Sedentary,43.0,11,1,0.0
1,0,Active,44.0,11,1,0.0
1,0,Active,46.0,11,1,0.0
1,10,Active,48.0,11,4,28.0
1,10,Active,49.0,11,19,241.0
1,10,Active,50.0,11,36,186.0
1,0,Active,52.0,11,1,0.0
1,10,Active,53.0,11,9,77.0
1,11,Active,53.0,11,38,258.0
1,11,Active,54.0,11,5,50.0
1,0,Sedentary,55.0,11,1,0.0
1,12,Sedentary,58.0,11,24,204.0
1,12,Sedentary,59.0,11,32,500.0
1,12,Active,60.0,11,4,87.0
1,12,Active,61.0,11,36,523.0
1,12,Active,62.0,11,39,1479.0
1,12,Active,63.0,11,20,1014.0
1,13,Active,63.0,11,24,191.0
1,13,Sedentary,64.0,11,28,432.0
1,14,Sedentary,71.0,11,6,51.0
1,15,Active,75.0,11,1,1.0
1,15,Sedentary,77.0,11,90,1703.0
1,15,Sedentary,78.0,11,24,448.0
